R [kohm],C [nF],,Uwej [V],Uwyj [V],,d,F [Hz],U_wyj/Uwej
15.85,10,,4.15,2.934,,0.000118829379318619,1000,0.706987951807229
,,,4.15,2.938,,0.000845026042368136,980,0.707951807228916
,,,4.15,2.936,,0.000363098331524703,990,0.707469879518072
,,,4.15,3.95,,,100,0.951807228915663
,,,4.15,3.9,,,200,0.939759036144578
,,,4.15,3.7,,,400,0.891566265060241
,,,4.15,3.4,,,600,0.819277108433735
,,,4.15,3.15,,,800,0.759036144578313
,,,4.15,2.6,,,1200,0.626506024096386
,,,4.15,0.41,,,10000,0.0987951807228916
,,,4.15,0.09,,,50000,0.0216867469879518
,,,4.15,1.83,,,2000,0.440963855421687
,,,,,,,,
,górnoprzepustowy,,,,,,,
,,,4.15,2.8,,0.0324079860058246,1000,0.674698795180723
,,,4.15,2.94,,0.00132695375321146,1100,0.708433734939759
,,,4.15,2.89,,0.0107212390178728,1050,0.696385542168675
,,,4.15,2.9,,0.00831160046365598,1069,0.698795180722892
,,,4.15,2.92,,0.0034923233552222,1090,0.703614457831325
,,,4.15,0.4,,,100,0.0963855421686747
,,,4.15,1.46,,,400,0.351807228915663
,,,4.15,2.5,,,800,0.602409638554217
,,,4.15,2.7,,,900,0.650602409638554
,,,4.15,3.05,,,1200,0.734939759036145
,,,4.15,3.05,,,2000,0.734939759036145
,,,4.15,4,,,10000,0.963855421686747
,,,4.15,4.05,,,100000,0.975903614457831
,,,4.15,3.9,,,5000,0.939759036144578
,,,,,,,,
dioda,,,,,,,,
,,,,,,,,
,U [V],Uout [V],I [A],Iout [uA],R = 1.5 kohm,,,
zapor,3,3,0.01,1611,,,,
opor,3,3,0.01,0.003,,,,
opor,5,5,0,5,,,,
zapor,5,5,0.01,2890,,,,
opor,6.7,6.7,0,6.7,,,,
zapor,6.7,6.7,0.01,4025,,,,
opor,10,10,0.01,10,,,,
zapor,10,10,0.01,6.39,mA,,,
