"Czas (s) Seria nr 1";"Napięcie (V) Seria nr 1"
0,000;11,121
0,050;11,084
0,100;11,048
0,150;11,012
0,200;10,972
0,250;10,936
0,300;10,901
0,350;10,863
0,400;10,828
0,450;10,793
0,500;10,756
0,550;10,720
0,600;10,685
0,650;10,650
0,700;10,615
0,750;10,581
0,800;10,546
0,850;10,512
0,900;10,475
0,950;10,441
1,000;10,406
1,050;10,370
1,100;10,336
1,150;10,302
1,200;10,268
1,250;10,234
1,300;10,201
1,350;10,169
1,400;10,135
1,450;10,102
1,500;10,069
1,550;10,036
1,600;9,999
1,650;9,967
1,700;9,934
1,750;9,900
1,800;9,868
1,850;9,836
1,900;9,803
1,950;9,770
2,000;9,738
2,050;9,706
2,100;9,675
2,150;9,642
2,200;9,611
2,250;9,581
2,300;9,548
2,350;9,514
2,400;9,483
2,450;9,451
2,500;9,420
2,550;9,388
2,600;9,359
2,650;9,328
2,700;9,298
2,750;9,265
2,800;9,234
2,850;9,205
2,900;9,175
2,950;9,145
3,000;9,116
3,050;9,086
3,100;9,057
3,150;9,024
3,200;8,993
3,250;8,963
3,300;8,933
3,350;8,903
3,400;8,876
3,450;8,845
3,500;8,817
3,550;8,788
3,600;8,759
3,650;8,729
3,700;8,702
3,750;8,673
3,800;8,644
3,850;8,617
3,900;8,589
3,950;8,561
4,000;8,530
4,050;8,501
4,100;8,472
4,150;8,444
4,200;8,415
4,250;8,388
4,300;8,361
4,350;8,334
4,400;8,307
4,450;8,279
4,500;8,251
4,550;8,225
4,600;8,197
4,650;8,170
4,700;8,144
4,750;8,117
4,800;8,092
4,850;8,062
4,900;8,036
4,950;8,008
5,000;7,982
5,050;7,954
5,100;7,928
5,150;7,903
5,200;7,876
5,250;7,851
5,300;7,825
5,350;7,799
5,400;7,773
5,450;7,747
5,500;7,722
5,550;7,697
5,600;7,671
5,650;7,647
5,700;7,623
5,750;7,598
5,800;7,570
5,850;7,544
5,900;7,519
5,950;7,495
6,000;7,470
6,050;7,445
6,100;7,421
6,150;7,396
6,200;7,372
6,250;7,348
6,300;7,323
6,350;7,299
6,400;7,275
6,450;7,251
6,500;7,229
6,550;7,204
6,600;7,181
6,650;7,157
6,700;7,133
6,750;7,110
6,800;7,084
6,850;7,061
6,900;7,037
6,950;7,015
7,000;6,992
7,050;6,968
7,100;6,945
7,150;6,923
7,200;6,898
7,250;6,876
7,300;6,854
7,350;6,830
7,400;6,809
7,450;6,786
7,500;6,765
7,550;6,742
7,600;6,719
7,650;6,697
7,700;6,676
7,750;6,654
7,800;6,633
7,850;6,611
7,900;6,587
7,950;6,566
8,000;6,544
8,050;6,523
8,100;6,500
8,150;6,478
8,200;6,457
8,250;6,436
8,300;6,415
8,350;6,393
8,400;6,372
8,450;6,350
8,500;6,329
8,550;6,309
8,600;6,288
8,650;6,269
8,700;6,248
8,750;6,226
8,800;6,207
8,850;6,187
8,900;6,165
8,950;6,146
9,000;6,125
9,050;6,103
9,100;6,083
9,150;6,064
9,200;6,043
9,250;6,023
9,300;6,003
9,350;5,982
9,400;5,963
9,450;5,944
9,500;5,924
9,550;5,905
9,600;5,885
9,650;5,865
9,700;5,846
9,750;5,827
9,800;5,807
9,850;5,789
9,900;5,769
9,950;5,752
10,000;5,732
10,050;5,714
10,100;5,696
10,150;5,676
10,200;5,657
10,250;5,638
10,300;5,618
10,350;5,599
10,400;5,582
10,450;5,563
10,500;5,546
10,550;5,527
10,600;5,507
10,650;5,489
10,700;5,471
10,750;5,454
10,800;5,435
10,850;5,418
10,900;5,400
10,950;5,382
11,000;5,364
11,050;5,346
11,100;5,329
11,150;5,310
11,200;5,294
11,250;5,277
11,300;5,259
11,350;5,242
11,400;5,225
11,450;5,208
11,500;5,190
11,550;5,174
11,600;5,157
11,650;5,139
11,700;5,122
11,750;5,105
11,800;5,088
11,850;5,070
11,900;5,054
11,950;5,037
12,000;5,020
12,050;5,004
12,100;4,987
12,150;4,971
12,200;4,955
12,250;4,939
12,300;4,922
12,350;4,905
12,400;4,889
12,450;4,873
12,500;4,858
12,550;4,841
12,600;4,825
12,650;4,810
12,700;4,794
12,750;4,778
12,800;4,762
12,850;4,747
12,900;4,731
12,950;4,716
13,000;4,700
13,050;4,685
13,100;4,670
13,150;4,654
13,200;4,636
13,250;4,621
13,300;4,606
13,350;4,590
13,400;4,575
13,450;4,560
13,500;4,545
13,550;4,529
13,600;4,515
13,650;4,499
13,700;4,485
13,750;4,471
13,800;4,455
13,850;4,442
13,900;4,427
13,950;4,412
14,000;4,397
14,050;4,382
