I1 [A],B1 [mT],,I2,B2
0.06,-20,,0.24,-94
0.16,-26,,0.33,-138
0.2,-32,,0.42,-197
0.5,-91,,0.5,-252
0.64,-128,,0.66,-332
0.7,-140,,0.87,-429
0.8,-166,,0.94,-466
0.9,-190,,1.32,-671
1.00,-213,,1.50,-757
1.20,-271,,1.86,-903
1.49,-310,,1.98,-941
1.83,-355,,,
1.98,-372,,,
,,,,
1.79,-364,,1.80,-904
1.62,-355,,1.62,-843
1.50,-347,,1.44,-762
1.32,-335,,1.20,-660
1.20,-327,,0.90,-495
1.05,-314,,0.79,-430
0.78,-300,,0.69,-382
0.68,-273,,0.56,-318
0.54,-238,,0.49,-296
0.38,-196,,0.42,-248
0.30,-174,,0.36,-199
0.12,-124,,0.21,-116
0.02,-89,,0.02,-29
,,,,
-I,,,-I,
0.21,-26,,0.16,43
0.42,63,,0.26,102
0.67,129,,0.35,167
0.74,151,,0.49,248
0.80,172,,0.61,312
0.91,211,,0.69,351
1.26,312,,0.82,423
1.50,333,,0.90,468
1.80,376,,1.20,622
,,,1.47,761
1.92,408,,1.86,921
1.80,401,,1.98,958
1.68,390,,,
1.32,367,,1.77,911
0.99,335,,1.47,800
0.84,316,,1.17,649
0.54,266,,0.84,477
0.46,251,,0.66,379
0.40,237,,0.50,302
0.25,200,,0.26,163
0.17,174,,0.19,122
0.06,138,,0.11,78
0.02,121,,0.02,28
