"Czas (s)";"Napięcie (V)"
0.150;12.036
0.200;11.957
0.250;11.877
0.300;11.799
0.350;11.720
0.400;11.643
0.450;11.567
0.500;11.492
0.550;11.414
0.600;11.339
0.650;11.264
0.700;11.189
0.750;11.116
0.800;11.044
0.850;10.970
0.900;10.897
0.950;10.825
1.000;10.753
1.050;10.682
1.100;10.612
1.150;10.543
1.200;10.472
1.250;10.402
1.300;10.334
1.350;10.266
1.400;10.199
1.450;10.132
1.500;10.066
1.550;9.998
1.600;9.930
1.650;9.865
1.700;9.800
1.750;9.735
1.800;9.671
1.850;9.608
1.900;9.545
1.950;9.481
2.000;9.419
2.050;9.356
2.100;9.295
2.150;9.233
2.200;9.174
2.250;9.113
2.300;9.053
2.350;8.991
2.400;8.933
2.450;8.873
2.500;8.815
2.550;8.756
2.600;8.700
2.650;8.642
2.700;8.587
2.750;8.528
2.800;8.471
2.850;8.414
2.900;8.359
2.950;8.304
3.000;8.250
3.050;8.196
3.100;8.143
3.150;8.089
3.200;8.034
3.250;7.981
3.300;7.928
3.350;7.875
3.400;7.824
3.450;7.772
3.500;7.722
3.550;7.671
3.600;7.621
3.650;7.569
3.700;7.518
3.750;7.469
3.800;7.420
3.850;7.370
3.900;7.322
3.950;7.274
4.000;7.226
4.050;7.179
4.100;7.133
4.150;7.084
4.200;7.037
4.250;6.990
4.300;6.944
4.350;6.898
4.400;6.851
4.450;6.807
4.500;6.763
4.550;6.719
4.600;6.674
4.650;6.631
4.700;6.586
4.750;6.541
4.800;6.498
4.850;6.455
4.900;6.413
4.950;6.371
5.000;6.328
5.050;6.287
5.100;6.246
5.150;6.206
5.200;6.166
5.250;6.124
5.300;6.082
5.350;6.041
5.400;6.002
5.450;5.962
5.500;5.924
5.550;5.884
5.600;5.846
5.650;5.807
5.700;5.769
5.750;5.731
5.800;5.694
5.850;5.657
5.900;5.619
5.950;5.581
6.000;5.543
6.050;5.506
6.100;5.470
6.150;5.434
6.200;5.398
6.250;5.363
6.300;5.327
6.350;5.291
6.400;5.257
6.450;5.222
6.500;5.189
6.550;5.156
6.600;5.120
6.650;5.086
6.700;5.052
6.750;5.018
6.800;4.986
6.850;4.953
6.900;4.921
6.950;4.889
7.000;4.857
7.050;4.824
7.100;4.793
7.150;4.761
7.200;4.731
7.250;4.699
7.300;4.670
7.350;4.637
7.400;4.606
7.450;4.575
7.500;4.545
7.550;4.514
7.600;4.485
7.650;4.456
7.700;4.427
7.750;4.396
7.800;4.368
7.850;4.339
7.900;4.311
7.950;4.282
8.000;4.254
8.050;4.227
8.100;4.199
8.150;4.171
8.200;4.143
8.250;4.115
8.300;4.088
