"Czas (s)","Napięcie (V)"
0.150,10.738
0.200,12.093
0.250,12.052
0.300,12.013
0.350,11.971
0.400,11.932
0.450,11.892
0.500,11.853
0.550,11.814
0.600,11.775
0.650,11.735
0.700,11.697
0.750,11.658
0.800,11.621
0.850,11.581
0.900,11.545
0.950,11.508
1.000,11.468
1.050,11.429
1.100,11.391
1.150,11.352
1.200,11.316
1.250,11.278
1.300,11.242
1.350,11.204
1.400,11.167
1.450,11.130
1.500,11.093
1.550,11.058
1.600,11.023
1.650,10.984
1.700,10.948
1.750,10.911
1.800,10.874
1.850,10.838
1.900,10.802
1.950,10.766
2.000,10.730
2.050,10.696
2.100,10.662
2.150,10.626
2.200,10.591
2.250,10.556
2.300,10.523
2.350,10.486
2.400,10.450
2.450,10.416
2.500,10.380
2.550,10.346
2.600,10.312
2.650,10.278
2.700,10.243
2.750,10.209
2.800,10.178
2.850,10.144
2.900,10.111
2.950,10.078
3.000,10.045
3.050,10.010
3.100,9.975
3.150,9.942
3.200,9.910
3.250,9.877
3.300,9.845
3.350,9.812
3.400,9.779
3.450,9.746
3.500,9.714
3.550,9.683
3.600,9.652
3.650,9.621
3.700,9.590
3.750,9.559
3.800,9.524
3.850,9.492
3.900,9.461
3.950,9.429
4.000,9.398
4.050,9.367
4.100,9.337
4.150,9.307
4.200,9.275
4.250,9.244
4.300,9.214
4.350,9.184
4.400,9.154
4.450,9.124
4.500,9.094
4.550,9.065
4.600,9.033
4.650,9.002
4.700,8.972
4.750,8.942
4.800,8.912
4.850,8.884
4.900,8.854
4.950,8.825
5.000,8.795
5.050,8.767
5.100,8.737
5.150,8.709
5.200,8.681
5.250,8.652
5.300,8.625
5.350,8.595
5.400,8.568
5.450,8.537
5.500,8.509
5.550,8.481
5.600,8.454
5.650,8.424
5.700,8.397
5.750,8.368
5.800,8.342
5.850,8.313
5.900,8.287
5.950,8.259
6.000,8.232
6.050,8.205
6.100,8.178
6.150,8.152
6.200,8.125
6.250,8.100
6.300,8.072
6.350,8.043
6.400,8.016
6.450,7.989
6.500,7.963
6.550,7.936
6.600,7.910
6.650,7.884
6.700,7.859
6.750,7.832
6.800,7.807
6.850,7.781
6.900,7.755
6.950,7.730
7.000,7.704
7.050,7.678
7.100,7.656
7.150,7.629
7.200,7.604
7.250,7.577
7.300,7.551
7.350,7.526
7.400,7.502
7.450,7.477
7.500,7.452
7.550,7.428
7.600,7.404
7.650,7.379
7.700,7.355
7.750,7.330
7.800,7.306
7.850,7.282
7.900,7.258
7.950,7.235
8.000,7.211
8.050,7.186
8.100,7.164
8.150,7.140
8.200,7.117
8.250,7.093
8.300,7.069
8.350,7.045
8.400,7.020
8.450,6.999
8.500,6.974
8.550,6.950
8.600,6.929
8.650,6.906
8.700,6.883
8.750,6.860
8.800,6.837
8.850,6.814
8.900,6.792
8.950,6.770
9.000,6.748
9.050,6.727
9.100,6.704
9.150,6.683
9.200,6.660
9.250,6.638
9.300,6.617
9.350,6.593
9.400,6.571
9.450,6.549
9.500,6.527
9.550,6.506
9.600,6.484
9.650,6.462
9.700,6.443
9.750,6.421
9.800,6.399
9.850,6.378
9.900,6.357
9.950,6.336
10.000,6.315
10.050,6.293
10.100,6.274
10.150,6.253
10.200,6.233
10.250,6.212
10.300,6.192
10.350,6.171
10.400,6.151
10.450,6.131
10.500,6.109
10.550,6.088
10.600,6.069
10.650,6.048
10.700,6.029
10.750,6.008
10.800,5.987
10.850,5.968
10.900,5.950
10.950,5.929
11.000,5.910
11.050,5.890
11.100,5.870
11.150,5.852
11.200,5.832
11.250,5.812
11.300,5.794
11.350,5.774
11.400,5.756
11.450,5.737
11.500,5.718
11.550,5.699
11.600,5.681
11.650,5.663
11.700,5.645
11.750,5.623
11.800,5.604
11.850,5.586
11.900,5.566
11.950,5.549
12.000,5.531
12.050,5.512
12.100,5.494
12.150,5.477
12.200,5.459
12.250,5.440
12.300,5.422
12.350,5.403
12.400,5.386
12.450,5.368
12.500,5.350
12.550,5.333
12.600,5.315
12.650,5.299
12.700,5.281
12.750,5.263
12.800,5.246
12.850,5.228
12.900,5.212
12.950,5.196
13.000,5.178
13.050,5.161
13.100,5.144
13.150,5.126
13.200,5.108
13.250,5.092
13.300,5.075
13.350,5.058
13.400,5.041
13.450,5.024
13.500,5.007
13.550,4.991
13.600,4.975
13.650,4.958
13.700,4.941
13.750,4.926
13.800,4.909
13.850,4.892
13.900,4.876
13.950,4.861
14.000,4.844
14.050,4.828
14.100,4.814
14.150,4.797
14.200,4.782
14.250,4.765
14.300,4.750
14.350,4.734
14.400,4.720
14.450,4.704
14.500,4.690
14.550,4.673
14.600,4.658
14.650,4.640
14.700,4.625
14.750,4.610
14.800,4.595
14.850,4.580
14.900,4.565
14.950,4.550
15.000,4.533
15.050,4.519
15.100,4.505
15.150,4.489
15.200,4.475
15.250,4.459
15.300,4.445
15.350,4.430
15.400,4.416
15.450,4.401
15.500,4.386
15.550,4.372
15.600,4.358
15.650,4.343
15.700,4.329
15.750,4.315
15.800,4.301
15.850,4.286
15.900,4.272
15.950,4.258
16.000,4.245
16.050,4.232
16.100,4.216
16.150,4.203
16.200,4.189
16.250,4.176
16.300,4.161
16.350,4.147
16.400,4.133
16.450,4.120
16.500,4.105
16.550,4.091
16.600,4.079
16.650,4.065
16.700,4.051
16.750,4.038
16.800,4.025
16.850,4.011
16.900,3.999
16.950,3.986
17.000,3.972
17.050,3.959
17.100,3.945
17.150,3.933
17.200,3.919
17.250,3.907
17.300,3.893
17.350,3.880
17.400,3.868
17.450,3.855
17.500,3.844
17.550,3.831
17.600,3.819
17.650,3.806
17.700,3.793
17.750,3.780
17.800,3.767
17.850,3.756
17.900,3.745
17.950,3.730
18.000,3.719
18.050,3.706
18.100,3.694
18.150,3.681
18.200,3.669
18.250,3.657
18.300,3.645
18.350,3.633
18.400,3.620
18.450,3.608
18.500,3.596
18.550,3.584
18.600,3.573
18.650,3.560
18.700,3.548
18.750,3.538
18.800,3.525
18.850,3.514
18.900,3.503
18.950,3.490
19.000,3.480
19.050,3.469
19.100,3.457
19.150,3.446
19.200,3.435
19.250,3.422
19.300,3.411
19.350,3.400
19.400,3.389
19.450,3.378
19.500,3.367
19.550,3.356
19.600,3.345
19.650,3.334
19.700,3.323
19.750,3.311
19.800,3.301
19.850,3.289
19.900,3.279
19.950,3.269
20.000,3.258
20.050,3.246
20.100,3.236
20.150,3.226
20.200,3.215
20.250,3.205
20.300,3.194
20.350,3.181
20.400,3.171
20.450,3.160
20.500,3.150
20.550,3.140
20.600,3.129
20.650,3.118
20.700,3.109
20.750,3.099
20.800,3.088
20.850,3.078
20.900,3.067
20.950,3.057
21.000,3.047
21.050,3.037
21.100,3.028
21.150,3.018
21.200,3.007
21.250,2.997
21.300,2.988
21.350,2.977
21.400,2.968
21.450,2.959
21.500,2.948
21.550,2.938
21.600,2.928
21.650,2.919
21.700,2.909
21.750,2.901
21.800,2.892
21.850,2.881
21.900,2.872
21.950,2.863
22.000,2.854
22.050,2.844
22.100,2.835
22.150,2.826
22.200,2.817
22.250,2.807
22.300,2.797
22.350,2.787
22.400,2.780
22.450,2.770
22.500,2.761
22.550,2.751
22.600,2.744
22.650,2.734
22.700,2.725
22.750,2.716
22.800,2.708
22.850,2.697
22.900,2.688
22.950,2.679
23.000,2.670
23.050,2.661
23.100,2.653
23.150,2.643
23.200,2.633
23.250,2.625
23.300,2.618
23.350,2.609
23.400,2.600
23.450,2.591
23.500,2.582
23.550,2.574
23.600,2.565
23.650,2.557
23.700,2.548
23.750,2.541
23.800,2.533
23.850,2.524
23.900,2.515
23.950,2.506
24.000,2.498
24.050,2.490
24.100,2.482
24.150,2.474
24.200,2.466
24.250,2.457
24.300,2.449
24.350,2.441
24.400,2.433
24.450,2.425
24.500,2.418
